Gene_ID	lncRNA_ID	Other_Name	Species	Ref_Genome_Vers	Chr	Start	End	Strand	Exon_Num	Type	Validate	Note	Source	PLEK	CPC	CREMA	RNAplonc	Experimental	Confidence Level
GMAX_LNC000043	GMAX_LNC000043.1		Glycine_max	GCF_000004515.5	NC_016088.3	6952657	6952941	.	1	lncRNA	No		PLncDB	-2.52058	-1.04016	0.9998960310836039	0.863	0	High
GMAX_LNC000044	GMAX_LNC000044.1		Glycine_max	GCF_000004515.5	NC_016088.3	7041194	7041411	.	1	lncRNA	No		PLncDB	-2.12565	-0.909859	0.805511022240234	0.863	0	High
GMAX_LNC000045	GMAX_LNC000045.1		Glycine_max	GCF_000004515.5	NC_016088.3	7184141	7184388	.	1	lncRNA	No		PLncDB	-2.37879	-1.33122	0.9998960310836039	0.863	0	High
GMAX_LNC000046	GMAX_LNC000046.1		Glycine_max	GCF_000004515.5	NC_016088.3	7211322	7211605	-	1	lncRNA	No		PLncDB	-2.52484	-0.9532700000000001	0.7705201556832041	0.863	0	High
GMAX_LNC000047	GMAX_LNC000047.1		Glycine_max	GCF_000004515.5	NC_016088.3	7611946	7612310	.	1	lncRNA	No		PLncDB	-1.88274	-0.23198400000000002	0.9998960310836039	0.863	0	High
GMAX_LNC000048	GMAX_LNC000048.1		Glycine_max	GCF_000004515.5	NC_016088.3	7614211	7614482	.	1	lncRNA	No		PLncDB	-2.38999	-1.21858	0.9998960310836039	0.863	0	High
GMAX_LNC000049	GMAX_LNC000049.1		Glycine_max	GCF_000004515.5	NC_016088.3	7616960	7617179	.	1	lncRNA	No		PLncDB	-2.34231	-1.44736	0.805511022240234	0.863	0	High
GMAX_LNC000050	GMAX_LNC000050.1		Glycine_max	GCF_000004515.5	NC_016088.3	7879411	7879678	.	1	lncRNA	No		PLncDB	-2.6496299999999997	-1.25226	0.805511022240234	0.0	0	High
GMAX_LNC000051	GMAX_LNC000051.1		Glycine_max	GCF_000004515.5	NC_016088.3	7897517	7898190	+	4	lncRNA	No		PLncDB	-2.3423	-1.16592	0.9998960310836039	0.863	0	High
GMAX_LNC000052	GMAX_LNC000052.1		Glycine_max	GCF_000004515.5	NC_016088.3	8258959	8259160	.	1	lncRNA	No		PLncDB	-2.26483	-1.43384	0.805511022240234	0.863	0	High
GMAX_LNC000053	GMAX_LNC000053.1		Glycine_max	GCF_000004515.5	NC_016088.3	8271104	8271658	.	1	lncRNA	No		PLncDB	-1.4338899999999999	-0.9187870000000001	0.9827829031493691	0.852	0	High
GMAX_LNC000054	GMAX_LNC000054.1		Glycine_max	GCF_000004515.5	NC_016088.3	8451429	8451637	.	1	lncRNA	No		PLncDB	-2.2667900000000003	-1.20127	0.990911290235174	0.863	0	High
GMAX_LNC000055	GMAX_LNC000055.1		Glycine_max	GCF_000004515.5	NC_016088.3	8637316	8637820	-	1	lncRNA	No		PLncDB	-0.9204399999999999	-1.03071	0.9998960310836039	0.863	0	High
GMAX_LNC000056	GMAX_LNC000056.1		Glycine_max	GCF_000004515.5	NC_016088.3	9246395	9246661	-	1	lncRNA	No		PLncDB	-2.4066099999999997	-1.3601	0.9998960310836039	0.863	0	High
GMAX_LNC000057	GMAX_LNC000057.1		Glycine_max	GCF_000004515.5	NC_016088.3	9741361	9741592	.	1	lncRNA	No		PLncDB	-2.4337	-1.04151	0.9998960310836039	0.863	0	High
GMAX_LNC000058	GMAX_LNC000058.1		Glycine_max	GCF_000004515.5	NC_016088.3	9863505	9866385	+	2	lncRNA	No		PLncDB	-0.25774400000000003	-1.11737	0.736159394633712	0.852	0	High
GMAX_LNC000059	GMAX_LNC000059.1		Glycine_max	GCF_000004515.5	NC_016088.3	10427480	10427716	.	1	lncRNA	No		PLncDB	-2.4830400000000004	-1.30041	0.805511022240234	0.863	0	High
GMAX_LNC000060	GMAX_LNC000060.1		Glycine_max	GCF_000004515.5	NC_016088.3	10600808	10601047	.	1	lncRNA	No		PLncDB	-2.38632	-1.4438600000000001	0.805511022240234	0.863	0	High
GMAX_LNC000061	GMAX_LNC000061.1		Glycine_max	GCF_000004515.5	NC_016088.3	11104639	11104973	-	2	lncRNA	No		PLncDB	-2.0177400000000003	-1.23571	0.990911290235174	0.863	0	High
GMAX_LNC000062	GMAX_LNC000062.1		Glycine_max	GCF_000004515.5	NC_016088.3	11170290	11171006	.	1	lncRNA	No		PLncDB	-0.9781299999999999	-1.03845	0.9998960310836039	0.852	0	High
GMAX_LNC000063	GMAX_LNC000063.1		Glycine_max	GCF_000004515.5	NC_016088.3	11729432	11740177	-	2	lncRNA	No		PLncDB	-2.06077	-1.01796	0.9998960310836039	0.863	0	High
GMAX_LNC000064	GMAX_LNC000064.1		Glycine_max	GCF_000004515.5	NC_016088.3	12891160	12891962	.	1	lncRNA	No		PLncDB	-0.544294	-1.07623	0.9921617298252329	0.852	0	High
GMAX_LNC000065	GMAX_LNC000065.1		Glycine_max	GCF_000004515.5	NC_016088.3	13029431	13029677	.	1	lncRNA	No		PLncDB	-2.27881	-0.334067	0.990911290235174	0.863	0	High
GMAX_LNC000066	GMAX_LNC000066.1		Glycine_max	GCF_000004515.5	NC_016088.3	13431132	13431432	.	1	lncRNA	No		PLncDB	-2.01657	-1.09911	0.9998960310836039	0.863	0	High
GMAX_LNC000067	GMAX_LNC000067.1		Glycine_max	GCF_000004515.5	NC_016088.3	14034277	14034515	.	1	lncRNA	No		PLncDB	-2.17102	-0.9290879999999999	0.736159394633712	0.863	0	High
GMAX_LNC000068	GMAX_LNC000068.1		Glycine_max	GCF_000004515.5	NC_016088.3	14652719	14655839	+	2	lncRNA	No		PLncDB	-0.584853	-1.06949	0.9998960310836039	0.6970000000000001	0	High
GMAX_LNC000069	GMAX_LNC000069.1		Glycine_max	GCF_000004515.5	NC_016088.3	14768355	14768760	.	1	lncRNA	No		PLncDB	-2.5257	-1.3509200000000001	0.9998960310836039	0.863	0	High
GMAX_LNC000070	GMAX_LNC000070.1		Glycine_max	GCF_000004515.5	NC_016088.3	15650788	15650990	.	1	lncRNA	No		PLncDB	-2.33284	-1.27206	0.805511022240234	0.863	0	High
GMAX_LNC000071	GMAX_LNC000071.1		Glycine_max	GCF_000004515.5	NC_016088.3	15726292	15726537	.	1	lncRNA	No		PLncDB	-2.01397	-1.0732899999999999	0.0344370341195986	0.863	0	High
GMAX_LNC000072	GMAX_LNC000072.1		Glycine_max	GCF_000004515.5	NC_016088.3	16205789	16205993	.	1	lncRNA	No		PLncDB	-2.34488	-1.33348	0.805511022240234	0.863	0	High
GMAX_LNC000073	GMAX_LNC000073.1		Glycine_max	GCF_000004515.5	NC_016088.3	16922008	16922407	.	1	lncRNA	No		PLncDB	-2.28761	-1.24369	0.9998960310836039	0.863	0	High
GMAX_LNC000074	GMAX_LNC000074.1		Glycine_max	GCF_000004515.5	NC_016088.3	18148530	18158632	-	2	lncRNA	No		PLncDB	-1.8288099999999998	-0.961304	0.0344370341195986	0.863	0	High
GMAX_LNC000075	GMAX_LNC000075.1		Glycine_max	GCF_000004515.5	NC_016088.3	18617555	18617775	.	1	lncRNA	No		PLncDB	-1.79689	-0.7672829999999999	0.9998960310836039	0.863	0	High
GMAX_LNC000076	GMAX_LNC000076.1		Glycine_max	GCF_000004515.5	NC_016088.3	18953551	18953757	.	1	lncRNA	No		PLncDB	-2.34382	-1.14424	0.736159394633712	0.863	0	High
GMAX_LNC000077	GMAX_LNC000077.1		Glycine_max	GCF_000004515.5	NC_016088.3	19214140	19214366	.	1	lncRNA	No		PLncDB	-2.12743	-0.978384	0.990911290235174	0.863	0	High
GMAX_LNC000078	GMAX_LNC000078.1		Glycine_max	GCF_000004515.5	NC_016088.3	19215492	19217901	-	3	lncRNA	No		PLncDB	-0.12370199999999999	-1.1074	0.736159394633712	0.852	0	High
GMAX_LNC000078	GMAX_LNC000078.2		Glycine_max	GCF_000004515.5	NC_016088.3	19215492	19217901	-	2	lncRNA	No		PLncDB	-1.1012	-1.1244399999999999	0.9998960310836039	0.852	0	High
GMAX_LNC000078	GMAX_LNC000078.3		Glycine_max	GCF_000004515.5	NC_016088.3	19215505	19217901	-	3	lncRNA	No		PLncDB	-0.286393	-1.10182	0.736159394633712	0.852	0	High
GMAX_LNC000078	GMAX_LNC000078.4		Glycine_max	GCF_000004515.5	NC_016088.3	19215524	19216655	-	2	lncRNA	No		PLncDB	-1.36755	-0.772529	0.0344370341195986	0.863	0	High
GMAX_LNC000079	GMAX_LNC000079.1		Glycine_max	GCF_000004515.5	NC_016088.3	19919184	19919614	.	1	lncRNA	No		PLncDB	-2.3336099999999997	-1.08974	0.998219011975943	0.863	0	High
GMAX_LNC000080	GMAX_LNC000080.1		Glycine_max	GCF_000004515.5	NC_016088.3	19945392	19947134	.	1	lncRNA	No		PLncDB	-1.4149399999999999	-1.10169	0.9998960310836039	0.929	0	High
GMAX_LNC000081	GMAX_LNC000081.1		Glycine_max	GCF_000004515.5	NC_016088.3	19976426	19977089	.	1	lncRNA	No		PLncDB	-2.0911	-0.018972700000000002	0.9998960310836039	0.852	0	High
GMAX_LNC000082	GMAX_LNC000082.1		Glycine_max	GCF_000004515.5	NC_016088.3	20142390	20142604	.	1	lncRNA	No		PLncDB	-2.36369	-1.1587399999999999	0.805511022240234	0.863	0	High
GMAX_LNC000083	GMAX_LNC000083.1		Glycine_max	GCF_000004515.5	NC_016088.3	20434168	20434803	.	1	lncRNA	No		PLncDB	-1.54949	-1.14452	0.5827441908431079	0.852	0	High
GMAX_LNC000084	GMAX_LNC000084.1		Glycine_max	GCF_000004515.5	NC_016088.3	20435847	20436213	.	1	lncRNA	No		PLncDB	-1.96115	-1.21993	0.9998960310836039	0.863	0	High
GMAX_LNC000085	GMAX_LNC000085.1		Glycine_max	GCF_000004515.5	NC_016088.3	22146967	22147340	-	1	lncRNA	No		PLncDB	-2.9060099999999998	-1.3634700000000002	0.998219011975943	0.863	0	High
GMAX_LNC000086	GMAX_LNC000086.1		Glycine_max	GCF_000004515.5	NC_016088.3	22421811	22422629	.	1	lncRNA	No		PLncDB	-2.2679099999999996	-1.33752	0.9998960310836039	0.852	0	High
GMAX_LNC000087	GMAX_LNC000087.1		Glycine_max	GCF_000004515.5	NC_016088.3	22688130	22688725	.	1	lncRNA	No		PLncDB	-1.64032	-1.18874	0.9998960310836039	0.852	0	High
GMAX_LNC000088	GMAX_LNC000088.1		Glycine_max	GCF_000004515.5	NC_016088.3	22887540	22887794	.	1	lncRNA	No		PLncDB	-2.26925	-1.37021	0.9998960310836039	0.863	0	High
GMAX_LNC000089	GMAX_LNC000089.1		Glycine_max	GCF_000004515.5	NC_016088.3	23969197	23969482	.	1	lncRNA	No		PLncDB	-2.3992299999999998	-1.01394	0.0344370341195986	0.863	0	High
GMAX_LNC000090	GMAX_LNC000090.1		Glycine_max	GCF_000004515.5	NC_016088.3	23986642	23987044	.	1	lncRNA	No		PLncDB	-2.3204700000000003	-1.13996	0.0344370341195986	0.863	0	High
GMAX_LNC000091	GMAX_LNC000091.1		Glycine_max	GCF_000004515.5	NC_016088.3	24266873	24267597	+	2	lncRNA	No		PLncDB	-2.5173900000000002	-1.1381700000000001	0.990911290235174	0.863	0	High
GMAX_LNC000092	GMAX_LNC000092.1		Glycine_max	GCF_000004515.5	NC_016088.3	24328525	24329295	+	2	lncRNA	No		PLncDB	-1.79463	-0.137546	0.5827441908431079	0.852	0	High
GMAX_LNC000093	GMAX_LNC000093.1		Glycine_max	GCF_000004515.5	NC_016088.3	24332791	24333195	.	1	lncRNA	No		PLncDB	-1.86979	-1.18298	0.9998960310836039	0.863	0	High
GMAX_LNC000094	GMAX_LNC000094.1		Glycine_max	GCF_000004515.5	NC_016088.3	24361524	24361760	.	1	lncRNA	No		PLncDB	-2.26362	-1.10461	0.657900574269224	0.863	0	High
GMAX_LNC000095	GMAX_LNC000095.1		Glycine_max	GCF_000004515.5	NC_016088.3	24675444	24675645	.	1	lncRNA	No		PLncDB	-2.3283	-1.55077	0.805511022240234	0.863	0	High
GMAX_LNC000096	GMAX_LNC000096.1		Glycine_max	GCF_000004515.5	NC_016088.3	25132391	25132721	-	1	lncRNA	No		PLncDB	-2.84268	-1.14408	0.998219011975943	0.863	0	High
GMAX_LNC000097	GMAX_LNC000097.2		Glycine_max	GCF_000004515.5	NC_016088.3	25254897	25255603	+	2	lncRNA	No		PLncDB	-2.07918	-1.28769	0.998219011975943	0.863	0	High
GMAX_LNC000097	GMAX_LNC000097.1		Glycine_max	GCF_000004515.5	NC_016088.3	25254897	25256024	+	2	lncRNA	No		PLncDB	-1.3115700000000001	-1.31094	0.9998960310836039	0.863	0	High
GMAX_LNC000097	GMAX_LNC000097.3		Glycine_max	GCF_000004515.5	NC_016088.3	25254897	25257093	+	2	lncRNA	No		PLncDB	-1.0667799999999998	-0.244128	0.9998960310836039	0.852	0	High
GMAX_LNC000097	GMAX_LNC000097.4		Glycine_max	GCF_000004515.5	NC_016088.3	25256066	25257093	+	2	lncRNA	No		PLncDB	-1.60523	-0.233463	0.9998960310836039	0.852	0	High
GMAX_LNC000098	GMAX_LNC000098.1		Glycine_max	GCF_000004515.5	NC_016088.3	25880328	25880571	.	1	lncRNA	No		PLncDB	-2.33125	-1.18926	0.805511022240234	0.863	0	High
GMAX_LNC000099	GMAX_LNC000099.1		Glycine_max	GCF_000004515.5	NC_016088.3	25884291	25884537	.	1	lncRNA	No		PLncDB	-2.33534	-1.0203799999999998	0.5500775704287271	0.863	0	High
GMAX_LNC000100	GMAX_LNC000100.1		Glycine_max	GCF_000004515.5	NC_016088.3	26180602	26181314	.	1	lncRNA	No		PLncDB	-1.35531	-0.295304	0.0344370341195986	0.852	0	High
GMAX_LNC000101	GMAX_LNC000101.1		Glycine_max	GCF_000004515.5	NC_016088.3	26366467	26366672	.	1	lncRNA	No		PLncDB	-2.4776700000000003	-0.842376	0.990911290235174	0.863	0	High
GMAX_LNC000102	GMAX_LNC000102.1		Glycine_max	GCF_000004515.5	NC_016088.3	26562487	26562725	.	1	lncRNA	No		PLncDB	-2.09235	-1.2374100000000001	0.805511022240234	0.863	0	High
GMAX_LNC000103	GMAX_LNC000103.1		Glycine_max	GCF_000004515.5	NC_016088.3	26967101	26967370	.	1	lncRNA	No		PLncDB	-1.82496	-0.8544700000000001	0.805511022240234	0.863	0	High
GMAX_LNC000104	GMAX_LNC000104.1		Glycine_max	GCF_000004515.5	NC_016088.3	27020326	27020664	+	2	lncRNA	No		PLncDB	-2.03642	-0.6725	0.805511022240234	0.863	0	High
GMAX_LNC000104	GMAX_LNC000104.2		Glycine_max	GCF_000004515.5	NC_016088.3	27020326	27020664	+	2	lncRNA	No		PLncDB	-2.0823	-0.8179489999999999	0.805511022240234	0.863	0	High
GMAX_LNC000104	GMAX_LNC000104.3		Glycine_max	GCF_000004515.5	NC_016088.3	27020326	27020664	+	3	lncRNA	No		PLncDB	-2.1837	-0.729837	0.736159394633712	0.863	0	High
GMAX_LNC000104	GMAX_LNC000104.4		Glycine_max	GCF_000004515.5	NC_016088.3	27020326	27020664	+	2	lncRNA	No		PLncDB	-1.91828	-0.578588	0.0344370341195986	0.863	0	High
GMAX_LNC000104	GMAX_LNC000104.5		Glycine_max	GCF_000004515.5	NC_016088.3	27020326	27020664	+	2	lncRNA	No		PLncDB	-1.97125	-0.698126	0.0344370341195986	0.863	0	High
GMAX_LNC000105	GMAX_LNC000105.1		Glycine_max	GCF_000004515.5	NC_016088.3	27515121	27515462	.	1	lncRNA	No		PLncDB	-2.14675	-0.0750717	0.9998960310836039	0.863	0	High
GMAX_LNC000106	GMAX_LNC000106.1		Glycine_max	GCF_000004515.5	NC_016088.3	27944976	27945559	+	3	lncRNA	No		PLncDB	-2.19672	-0.209271	0.0344370341195986	0.863	0	High
GMAX_LNC000106	GMAX_LNC000106.2		Glycine_max	GCF_000004515.5	NC_016088.3	27944976	27967147	+	3	lncRNA	No		PLncDB	-2.28677	-0.7974979999999999	0.9998960310836039	0.863	0	High
GMAX_LNC000106	GMAX_LNC000106.3		Glycine_max	GCF_000004515.5	NC_016088.3	27944981	27945705	+	3	lncRNA	No		PLncDB	-1.90215	-0.20984499999999998	0.0344370341195986	0.863	0	High
GMAX_LNC000106	GMAX_LNC000106.4		Glycine_max	GCF_000004515.5	NC_016088.3	27944981	27945705	+	4	lncRNA	No		PLncDB	-1.76358	-0.0507877	0.0344370341195986	0.852	0	High
GMAX_LNC000106	GMAX_LNC000106.5		Glycine_max	GCF_000004515.5	NC_016088.3	27944988	27945559	+	3	lncRNA	No		PLncDB	-2.24726	-0.267971	0.0344370341195986	0.863	0	High
GMAX_LNC000106	GMAX_LNC000106.6		Glycine_max	GCF_000004515.5	NC_016088.3	27945389	27945705	+	2	lncRNA	No		PLncDB	-2.34438	-0.8560139999999999	0.9998960310836039	0.0	0	High
GMAX_LNC000107	GMAX_LNC000107.1		Glycine_max	GCF_000004515.5	NC_016088.3	28337556	28337774	.	1	lncRNA	No		PLncDB	-2.22878	-0.8788799999999999	0.736159394633712	0.863	0	High
GMAX_LNC000108	GMAX_LNC000108.1		Glycine_max	GCF_000004515.5	NC_016088.3	28403782	28404418	+	3	lncRNA	No		PLncDB	-2.2105599999999996	-1.3401100000000001	0.990911290235174	0.863	0	High
GMAX_LNC000109	GMAX_LNC000109.1		Glycine_max	GCF_000004515.5	NC_016088.3	29087711	29087955	.	1	lncRNA	No		PLncDB	-2.3104400000000003	-1.40848	0.736159394633712	0.863	0	High
GMAX_LNC000110	GMAX_LNC000110.1		Glycine_max	GCF_000004515.5	NC_016088.3	29096923	29097834	.	1	lncRNA	No		PLncDB	-1.17456	-1.1431	0.999776117573748	0.852	0	High
GMAX_LNC000111	GMAX_LNC000111.1		Glycine_max	GCF_000004515.5	NC_016088.3	29191959	29192308	-	2	lncRNA	No		PLncDB	-1.8737700000000002	-1.17987	0.805511022240234	0.863	0	High
GMAX_LNC000112	GMAX_LNC000112.1		Glycine_max	GCF_000004515.5	NC_016088.3	29303325	29303741	-	2	lncRNA	No		PLncDB	-2.35398	-1.2889899999999999	0.9998960310836039	0.0	0	High
